batch,train_loss,train_acc,val_loss,val_acc
21500,0.09488124491569276,1.0,0.2874771886326412,0.9842029679272379
21750,0.09372891055355811,1.0,0.2758201878979738,0.9837242699856391
22000,0.09291218882011806,1.0,0.26653329238505985,0.9842029679272379
22250,0.09088759825781695,1.0,0.24336970354175813,0.9894686452848253
22500,0.09055104044041243,1.0,0.24673130811901398,0.9875538535184298
22750,0.0899428560548387,1.0,0.23901358701185269,0.9865964576352322
23000,0.08938067377512825,1.0,0.23381020835578056,0.9889899473432264
23250,0.08888686635603743,1.0,0.23059125138244285,0.987075155576831
23500,0.09035695157677534,1.0,0.23639600158322652,0.987075155576831
23750,0.08939608537937226,1.0,0.22859298117911775,0.9889899473432264
24000,0.08835651235783408,1.0,0.22624118249219619,0.9899473432264241
24250,0.0896547274247893,1.0,0.23403564847866676,0.987075155576831
24500,0.08828921163395775,1.0,0.22303771261213184,0.9909047391096218
24750,0.0883431550390997,1.0,0.23217240149978247,0.9875538535184298
25000,0.0889448262657435,1.0,0.2272000286136092,0.9899473432264241
